sgRNAID	MFE
nlpCp3nlpCp5_5	0.0
yfcIp8_24	0.0
yfcIp8_52	0.0
TSS3318_36	0.0
TSS3318_37	-0.3
TSS4817_77	0.0
TSS4817_79	0.0
TSS1214TSS1215TSS1216TSS1217TSS1218TSS1219TSS1220TSS1221TSS1222_96	-1.4
TSS1214TSS1215TSS1216TSS1217TSS1218TSS1219TSS1220TSS1221TSS1222_161	0.0
clpPp3_47	0.0
clpPp3_59	0.0
sgrSp_34	0.0
sgrSp_74	0.0
sbcCp2_23	-0.3
pdxHp_46	-2.9
TSS4557TSS4558TSS4559_33	0.0
TSS4557TSS4558TSS4559_52	0.0
TSS3536_24	-2.9
TSS3536_33	0.0
TSS2586TSS2587_12	0.0
TSS2586TSS2587_65	-0.5
nagBp_18	-4.8
nagBp_72	0.0
csiRp5_51	0.0
csiRp5_52	0.0
TSS1739TSS1740_34	-0.8
TSS1739TSS1740_38	0.0
ibaGp9_29	0.0
ibaGp9_67	0.0
TSS3531_15	0.0
TSS3531_35	-0.9
TSS206_26	0.0
TSS206_27	-0.6
TSS3264_26	-3.1
TSS3264_36	-3.4
TSS4923_31	-1.4
TSS4923_56	0.0
TSS3266_25	0.0
comRp_60	0.0
TSS2898_61	-1.3
TSS4146_30	-0.7
TSS4146_43	0.0
puuDp_42	0.0
TSS2685_13	-1.8
TSS476_19	0.0
TSS476_61	-0.4
TSS2135_5	0.0
TSS2135_73	0.0
htgAp2_29	0.0
htgAp2_47	-2.1
yfjHp3_41	-1.0
artPp1artPp2artPp3_35	0.0
ftsBp_48	0.0
TSS3416TSS3417_31	-4.7
TSS3416TSS3417_44	-1.3
smfp_27	0.0
cdsAp3_29	-1.2
cdsAp3_71	0.0
ygdRp5_37	0.0
ygdRp5_66	-0.6
ribFp_23	0.0
yqaEp_42	-2.8
nhaBp7_38	-0.6
TSS2891_6	0.0
TSS2891_68	0.0
azoRp6azoRp8_96	-2.8
azoRp6azoRp8_123	0.0
TSS3088_11	-1.0
TSS3088_47	-1.4
TSS2226_47	-1.6
TSS2226_75	-1.9
TSS2224_14	-2.3
TSS2224_24	-0.7
sxyp_30	-0.8
sxyp_46	-1.3
TSS2228_24	-1.9
TSS2228_42	0.0
ivbLp_12	-1.0
ivbLp_29	-0.1
rcsAp_47	0.0
rcsAp_69	0.0
TSS2359_3	-2.0
TSS2359_37	-2.9
TSS4439TSS4440TSS4441_51	-1.4
TSS4439TSS4440TSS4441_74	-3.7
TSS3085TSS3086_28	0.0
TSS737TSS738TSS739TSS740TSS741_125	-3.0
TSS737TSS738TSS739TSS740TSS741_160	0.0
TSS1603TSS1604TSS1605TSS1606TSS1607TSS1608_68	-4.5
TSS1603TSS1604TSS1605TSS1606TSS1607TSS1608_164	-2.5
lapAp1_46	0.0
lapAp1_71	0.0
yqhCp1_29	-0.7
yqhCp1_68	0.0
TSS3605TSS3606_38	-1.4
TSS3605TSS3606_39	-1.4
TSS1390TSS1391_49	0.0
TSS1390TSS1391_54	0.0
dxrp3dxrp4dxrp5_59	0.0
dxrp3dxrp4dxrp5_69	-2.4
TSS1546_1	-11.4
TSS1546_46	-1.5
yjaAp3_24	0.0
yjaAp3_28	0.0
TSS2655_14	0.0
TSS2655_44	0.0
pepTp_73	-0.2
ybjMp8_73	0.0
ybjMp8_74	0.0
fimBp1_33	-4.5
borDp_78	-1.4
borDp_79	-1.2
TSS1232_12	-3.8
TSS1232_39	-2.7
sfsBp_37	0.0
ycjMp4_4	-2.9
ycjMp4_18	-1.0
yqfAp10_31	-1.9
yqfAp10_32	-0.3
TSS2393TSS2394TSS2395_27	-1.8
TSS2393TSS2394TSS2395_35	0.0
rsmAp_61	0.0
rsmAp_68	-2.0
ydeNp3_6	0.0
furpb_31	0.0
psuGp4_28	0.0
psuGp4_41	-0.3
ydjFp7_42	0.0
TSS617_25	-3.8
TSS617_55	0.0
TSS1529_46	0.0
TSS1529_53	0.0
TSS1056_41	-0.9
TSS1524_32	-6.6
TSS1835_18	-0.8
yajRp_19	-0.3
TSS1833_18	0.0
TSS1833_76	0.0
TSS4786TSS4787_14	-0.3
TSS4786TSS4787_34	-1.3
ycaDp6_1	0.0
ycaDp6_25	0.0
TSS1658_30	-7.6
TSS1658_38	-0.1
TSS577TSS578_26	0.0
TSS577TSS578_45	0.0
TSS426TSS427TSS428_6	-2.0
TSS426TSS427TSS428_15	-0.5
gntRp3gntRp4_32	-6.3
gntRp3gntRp4_67	0.0
argXp_36	0.0
yciUp4yciUp5yciUp6_27	0.0
yciUp4yciUp5yciUp6_48	0.0
TSS4238TSS4239_69	-1.4
TSS2913_33	-4.4
fdrAp4_48	0.0
TSS108_35	-1.1
TSS108_76	-0.2
glnSp2_46	-3.6
glnSp2_47	-2.4
TSS4494TSS4495TSS4496TSS4497_141	0.0
TSS4494TSS4495TSS4496TSS4497_174	0.0
TSS1784_4	-6.0
TSS1784_33	0.0
TSS1786_14	-4.9
TSS1786_17	-4.9
ykgRp_61	0.0
ykgRp_62	0.0
TSS1054_30	0.0
TSS1054_68	-0.2
yddWp6_6	0.0
yddWp6_41	-1.6
TSS3563TSS3564TSS3565TSS3566TSS3567_130	0.0
yhbUp7_21	0.0
TSS1016_31	-1.1
TSS1016_53	-1.2
TSS3885TSS3886TSS3887_47	0.0
TSS3885TSS3886TSS3887_97	-0.3
TSS2798TSS2799_3	-1.0
TSS2798TSS2799_74	-1.3
yafZp_22	-6.5
yafZp_46	0.0
ynfAp5ynfAp7_31	0.0
ynfAp5ynfAp7_32	0.0
yibDp1_21	-4.9
yibDp1_40	-2.2
TSS432TSS433_1	-2.2
TSS3655TSS3656TSS3657_39	0.0
yfaZp5_13	0.0
yfaZp5_42	-4.2
TSS4625TSS4626TSS4627TSS4628TSS4629TSS4630_87	-0.1
basSp4_1	0.0
basSp4_42	0.0
mtnp_15	-3.7
TSS4148TSS4149_23	-4.3
TSS4148TSS4149_35	-1.9
ynfDp6_24	-2.3
ynfDp6_41	-2.4
TSS238TSS239_20	-1.9
TSS238TSS239_23	-1.7
rnlBp_25	-0.6
TSS4188TSS4189_18	0.0
TSS4188TSS4189_52	0.0
TSS1296_55	0.0
hypFp2_60	-1.1
TSS883TSS884TSS885TSS886TSS887TSS888_138	0.0
ybgOp4_18	-0.6
ybgOp4_71	0.0
ykfIp7_6	-2.2
ykfIp7_49	0.0
ygiSp4_31	-0.8
ygiSp4_62	0.0
ompLp1_64	0.0
ompLp1_65	0.0
TSS5138_34	0.0
TSS143TSS144_12	0.0
TSS143TSS144_38	-2.3
flgAp_75	-1.1
TSS826_45	-3.8
TSS2217TSS2218_28	-0.3
TSS2217TSS2218_35	-0.9
ecnBp_27	0.0
ecnBp_39	0.0
TSS5106TSS5107_29	-3.3
TSS5106TSS5107_50	0.0
csiEp_5	0.0
TSS4005_40	0.0
TSS4005_45	0.0
sucAp_37	0.0
sucAp_63	0.0
TSS4555_38	-5.0
TSS4555_41	-1.4
malKp_12	0.0
malKp_25	-1.6
TSS519TSS520TSS521TSS522TSS523_32	-4.2
TSS519TSS520TSS521TSS522TSS523_73	-0.6
uvrDp2_42	-2.1
uvrDp2_45	-1.6
ydhFp3_12	-2.3
yciIp_38	0.0
yciIp_39	0.0
queFp_71	0.0
TSS1670TSS1671TSS1672_24	-1.8
TSS1670TSS1671TSS1672_47	-0.8
cysPp_19	0.0
ybbLp6_30	-2.6
ybbLp6_38	0.0
TSS1678TSS1679TSS1680_6	-2.1
TSS1678TSS1679TSS1680_97	0.0
flhBp_12	-1.7
ydaSp6_43	0.0
ydaSp6_72	-0.2
TSS4779TSS4780_33	-1.0
TSS4779TSS4780_45	0.0
ivyp5_63	-1.0
TSS1088TSS1089_19	-2.7
iadAp3_39	0.0
iadAp3_64	0.0
yjjZp_1	0.0
yjjZp_2	0.0
patDp4_37	-2.8
patDp4_62	-2.1
yfjIp8yfjIp9yfjIp10_38	0.0
yfjIp8yfjIp9yfjIp10_74	0.0
TSS3412_61	0.0
sbcDp_77	-0.9
sbcDp_78	-0.7
TSS357TSS358TSS359_16	-0.5
TSS357TSS358TSS359_57	-1.2
matAp1matAp5matAp7matAp9matAp10_15	-0.2
matAp1matAp5matAp7matAp9matAp10_96	0.0
ylaCp_30	0.0
ylaCp_58	0.0
TSS1179TSS1180_85	-3.3
TSS1136TSS1137TSS1138TSS1139TSS1140TSS1141TSS1142TSS1143TSS1144TSS1145_28	0.0
TSS1136TSS1137TSS1138TSS1139TSS1140TSS1141TSS1142TSS1143TSS1144TSS1145_74	0.0
hscBp_52	0.0
hscBp_63	-4.0
TSS1203TSS1204TSS1205_22	0.0
TSS1203TSS1204TSS1205_60	0.0
TSS4314_36	-1.0
TSS4314_57	0.0
dmsAp1_10	0.0
dmsAp1_19	0.0
TSS3328_4	-0.4
TSS3328_74	-7.3
TSS3359TSS3360TSS3361_49	0.0
TSS3359TSS3360TSS3361_81	0.0
TSS4390_46	0.0
TSS4390_50	-0.6
TSS3320_16	-3.2
TSS3320_37	0.0
pstBp_16	-2.4
pstBp_20	-1.8
TSS3322_6	0.0
TSS3322_26	-0.1
fabBp_33	0.0
TSS3324_57	-0.4
TSS3324_60	-1.9
TSS3326_49	-0.6
mdtKp9_30	0.0
mdtKp9_44	0.0
mlaAp_33	0.0
mlaAp_36	-0.1
yhcAp9_65	0.0
TSS5177TSS5178_41	-1.1
TSS5177TSS5178_50	-1.5
sulAp_57	0.0
sulAp_76	0.0
malTp_51	0.0
TSS4174_16	0.0
TSS4174_39	-0.1
TSS4176_4	-0.8
TSS4170_10	0.0
TSS4170_72	0.0
TSS4172_26	-1.5
TSS1918TSS1919TSS1921TSS1922TSS1923TSS1924TSS1925_145	0.0
TSS1918TSS1919TSS1921TSS1922TSS1923TSS1924TSS1925_157	-0.8
TSS4178_17	-0.9
TSS4178_27	0.0
cytRp_26	-0.6
TSS4777_38	0.0
yjeFp3_41	0.0
yjeFp3_43	0.0
TSS4775_31	0.0
rpoSp_65	0.0
TSS3525_30	-1.5
TSS2181_36	0.0
TSS2181_46	0.0
TSS3523_29	-1.1
TSS3523_46	0.0
ydgKp_12	0.0
yohCp4_26	-0.2
TSS2124_13	-0.4
TSS2124_42	-1.3
rssAp_37	0.0
rssAp_72	0.0
pheMp_14	-0.7
pheMp_38	-3.1
sodAp_73	0.0
TSS2121_69	-2.4
TSS2121_70	-3.5
TSS3749_71	-1.6
TSS3144_48	-2.1
TSS3144_77	-1.6
cysBp_79	0.0
ynfMp_37	0.0
ynfMp_41	0.0
TSS208TSS209TSS210TSS211TSS212TSS213TSS214_16	-1.0
TSS208TSS209TSS210TSS211TSS212TSS213TSS214_67	0.0
valVp_29	0.0
valVp_32	0.0
TSS4512_11	-0.1
TSS4512_35	-2.3
inaAp_33	-3.1
inaAp_46	0.0
TSS42TSS43_24	0.0
TSS42TSS43_80	0.0
lysRp_19	0.0
TSS2230_35	-0.1
nrdHp_25	0.0
TSS2235_39	0.0
TSS2235_40	0.0
TSS2237_37	-1.6
TSS2237_45	0.0
TSS583_26	-0.3
TSS583_44	0.0
ybeZp_17	0.0
ybeZp_47	-2.2
TSS2349_5	-0.4
TSS2349_33	-4.9
ynjIp_6	0.0
yobHp4_46	0.0
yqeCp7_17	0.0
nupCp_39	-0.6
nupCp_62	-1.1
glgCp1_39	-1.5
glgCp1_70	-1.6
hlpAp_35	-8.0
hlpAp_74	-4.0
ykiAp_4	0.0
ykiAp_19	0.0
dsrBp5_24	-1.0
TSS13TSS14TSS15_25	0.0
TSS13TSS14TSS15_70	-1.4
yhiDp8_13	0.0
yhiDp8_31	0.0
xseBp_8	-0.6
xseBp_13	-0.3
yeaGp2_18	-1.3
yeaGp2_59	-2.4
TSS2468TSS2469TSS2470_24	-1.7
malZp_4	0.0
malZp_53	-1.0
cbrAp6_25	0.0
cbrAp6_53	0.0
cnup10_34	0.0
rimKp_44	0.0
rimKp_79	0.0
yfiEp7_13	0.0
yfiEp7_75	-3.0
acsp2_17	0.0
acsp2_69	0.0
glmSp2_28	-1.2
TSS624_50	0.0
TSS624_51	0.0
TSS1953_33	-1.8
TSS1953_34	-2.6
mraWp1_59	-0.8
mraWp1_75	-6.4
croEp5_10	-0.4
croEp5_65	-0.3
mazEp1mazEp2_1	-0.8
mazEp1mazEp2_68	0.0
xylRp_26	-2.0
xylRp_40	0.0
zinTp_12	-1.1
xanPp4_45	0.0
xanPp4_76	0.0
cldp7_3	-2.0
cldp7_53	0.0
flgNp1_4	-0.3
flgNp1_51	-2.2
argOp_43	-0.8
argOp_78	-1.3
ybdHp6ybdHp7_33	-1.2
ybdHp6ybdHp7_59	0.0
TSS29TSS30TSS31TSS32TSS33TSS34TSS35TSS36TSS37TSS38_51	-0.1
TSS29TSS30TSS31TSS32TSS33TSS34TSS35TSS36TSS37TSS38_100	-0.5
TSS1539_28	-1.3
TSS1829_16	-4.3
TSS1829_22	0.0
TSS1825_30	0.0
TSS1825_35	0.0
TSS2709TSS2710TSS2711_113	-1.4
TSS2709TSS2710TSS2711_141	0.0
yfbUp_52	-3.2
TSS1537_53	0.0
TSS1537_71	-4.3
ygiDp2_8	-1.8
ygiDp2_20	-3.9
TSS1349TSS1350TSS1351_47	0.0
thiMp_21	-3.7
thiMp_51	0.0
TSS3036TSS3037TSS3038_34	0.0
TSS3036TSS3037TSS3038_93	0.0
TSS1497_15	-3.5
TSS4983TSS4984TSS4985_51	-1.9
TSS4983TSS4984TSS4985_77	-0.6
TSS2082TSS2083TSS2084TSS2085TSS2086TSS2087TSS2088TSS2089TSS2090_80	0.0
crlp2_26	0.0
ybfEp_59	-1.5
ybfEp_71	-2.5
TSS1790_2	-0.6
TSS5146_31	-0.8
TSS3659TSS3660TSS3661TSS3662TSS3663_48	-0.3
TSS1704TSS1705TSS1706TSS1707TSS1708_29	-7.4
TSS1704TSS1705TSS1706TSS1707TSS1708_38	-10.7
yfbRp4_45	-0.2
yfbRp4_49	-3.3
TSS3301TSS3302_45	0.0
TSS3301TSS3302_67	0.0
TSS2900_24	0.0
TSS2900_60	-0.3
TSS1224_42	0.0
TSS1224_73	-1.7
TSS4086_4	-1.1
TSS4086_72	-0.9
TSS5021TSS5022TSS5023_53	0.0
TSS102TSS103_52	0.0
TSS102TSS103_84	0.0
TSS1229_38	0.0
yebAp5_46	0.0
rarDp2rarDp3rarDp4rarDp5_58	-1.2
rarDp2rarDp3rarDp4rarDp5_120	-0.4
TSS1957_12	-2.0
TSS1957_48	0.0
hcaEp_63	0.0
TSS2735_58	-4.6
TSS2735_76	-1.3
udpP_41	0.0
udpP_48	0.0
TSS1006_17	-1.3
TSS1006_35	-2.1
TSS1004_28	-2.8
TSS1001_50	-4.2
TSS1001_56	0.0
TSS4025TSS4026_32	-0.7
yfdPp6yfdPp9_56	-1.9
yfdPp6yfdPp9_108	0.0
dedDp3_9	0.0
dedDp3_25	-6.9
TSS4866TSS4867TSS4868TSS4869_47	-0.6
TSS4866TSS4867TSS4868TSS4869_68	-0.8
ydiMp5_23	0.0
ydiMp5_30	0.0
TSS1271TSS1272TSS1273TSS1274TSS1275TSS1276TSS1277TSS1278TSS1279_149	0.0
TSS1271TSS1272TSS1273TSS1274TSS1275TSS1276TSS1277TSS1278TSS1279_304	0.0
treRp1_10	-1.3
treRp1_20	-1.6
TSS914TSS915_117	0.0
alaEp1alaEp11_58	-1.9
alaEp1alaEp11_90	-1.9
ytfJp_42	-3.1
ytfJp_77	0.0
yahMp4_56	0.0
secGp1secGp2_73	0.0
TSS4811_67	0.0
TSS4811_76	-2.4
sroAp_20	-0.5
sroAp_71	0.0
yraHp4yraHp5_109	0.0
aidBp_43	-0.3
aidBp_50	-3.3
rlmAp9_13	-3.0
rlmAp9_33	-5.2
yiiSp_14	-2.2
yiiSp_24	0.0
yibTp7_47	-0.1
yibTp7_65	0.0
tmcAp5_37	0.0
tmcAp5_62	0.0
TSS614TSS615_61	0.0
TSS614TSS615_75	0.0
TSS1951_46	0.0
TSS1951_53	-0.7
TSS3464TSS3465_75	-0.9
TSS3464TSS3465_100	-0.3
mdaBp1_37	0.0
TSS836_22	-2.0
TSS836_34	-3.5
TSS3063TSS3064TSS3065TSS3066TSS3067_7	-1.4
TSS3063TSS3064TSS3065TSS3066TSS3067_24	-3.3
TSS3802TSS3803TSS3804TSS3805TSS3806TSS3807_166	-0.4
yjdCp_62	-1.1
yjdCp_71	-2.1
TSS1955_37	-1.5
TSS1955_40	-1.5
leuEp_13	0.0
leuEp_24	-1.3
dgcZp_68	-1.4
TSS4019_49	-1.9
TSS4019_78	-0.1
TSS5011_3	-2.3
TSS5011_45	0.0
ttdRp_16	0.0
ttdRp_19	0.0
TSS4010_29	-1.1
TSS4010_41	-2.3
TSS4543_42	-0.7
TSS4543_45	0.0
TSS2752TSS2753TSS2754TSS2755_37	-0.6
TSS2752TSS2753TSS2754TSS2755_45	-0.8
nadBp_13	-0.7
rnep4_52	-4.4
rnep4_56	-1.6
yegSp6yegSp7_34	0.0
yegSp6yegSp7_68	0.0
TSS2937TSS2938_48	-0.3
TSS2937TSS2938_108	0.0
rhsDp8_42	0.0
hyuAp6_31	0.0
hyuAp6_46	-0.5
recNp_74	-3.8
yihDp_20	-0.6
yihDp_42	-0.1
litp8_32	-1.9
litp8_40	0.0
TSS414TSS415_86	-0.3
acnBp2_11	-1.4
acnBp2_57	0.0
hemAp2_34	0.0
hemAp2_38	0.0
TSS1837TSS1838_9	0.0
TSS1837TSS1838_57	-1.9
fldAp_27	-0.3
fldAp_68	-0.3
insHp3insHp5insHp6_11	-1.2
insHp3insHp5insHp6_68	0.0
valUp_57	-0.5
valUp_68	0.0
htrEp5_32	-0.5
htrEp5_43	-1.6
TSS4302_54	-0.7
TSS4302_68	0.0
yrdBp4_34	-1.7
yrdBp4_66	-4.6
mutLp2mutLp1_70	-1.7
mutLp2mutLp1_96	-0.4
TSS4645TSS4646TSS4647TSS4648_37	0.0
qmcAp_6	0.0
TSS4308_33	-0.3
TSS4308_72	0.0
ybdFp5_33	-3.3
ybdFp5_50	-1.3
yebQp5_70	0.0
secEp_49	-2.1
recFp1recFp2_39	-2.2
recFp1recFp2_70	0.0
pgpBp8pgpBp9_48	0.0
ydiYp6ydiYp11_72	-0.3
rsmCp1_3	-1.4
rsmCp1_9	-2.2
dksAp1_56	-2.8
ptsGp1_36	-0.9
dksAp2_32	-1.4
dksAp2_59	-1.9
fesp_4	-4.7
fesp_15	-2.4
fldBp_11	-0.7
TSS2251TSS2252TSS2253_72	0.0
TSS2251TSS2252TSS2253_111	-2.1
TSS4167_45	-2.5
lolAp_46	0.0
TSS4765_78	0.0
TSS4767_71	-0.4
TSS3538_28	-1.9
TSS3538_39	-3.5
TSS4945_14	-0.8
TSS4945_27	0.0
TSS3534_28	-5.2
TSS3534_44	0.0
queAp_41	-3.3
queAp_56	-0.6
ycaKp4ycaKp5_109	-2.4
ycaKp4ycaKp5_147	-0.1
TSS2119_66	0.0
rimLp_77	0.0
yebWp6_34	-1.5
yebWp6_42	0.0
TSS455_38	0.0
TSS455_39	0.0
metYp2_38	-0.2
metYp2_56	-0.4
cysKp1_28	0.0
cysKp1_55	-1.4
yceFp8_7	-0.3
yceFp8_64	0.0
TSS2092TSS2093TSS2094TSS2095TSS2096TSS2097TSS2098TSS2099_28	-3.1
yceFp6_37	-0.6
pyrGp1_39	0.0
pyrGp1_40	0.0
TSS1395TSS1396TSS1397TSS1398_143	-0.2
TSS1395TSS1396TSS1397TSS1398_144	-0.2
TSS4518_35	-0.7
TSS4518_58	0.0
yjjAp8_37	-0.5
rpsTp1_39	-2.9
rpsTp1_49	0.0
yijEp5_51	-0.3
yijEp5_72	0.0
TSS1819TSS1820TSS1821_81	-2.4
TSS1819TSS1820TSS1821_128	-4.9
TSS3337_12	-1.1
TSS3337_28	-0.8
TSS3334_75	-3.7
TSS4925_14	0.0
TSS4925_61	-1.9
TSS2209_27	-3.5
TSS2209_59	-0.5
TSS3330_32	-3.3
TSS3330_36	0.0
moeAp_15	0.0
moeAp_57	-0.2
TSS2205_44	-0.8
TSS2207_52	-2.0
TSS2207_53	-0.8
valSp1_47	-0.1
TSS3339_3	0.0
TSS3339_78	-1.9
TSS2577_33	-2.4
TSS2577_72	0.0
TSS2575_48	-2.8
TSS2575_77	-3.3
ybgSp7ybgSp8_33	-0.5
TSS1419TSS1420_31	-7.2
TSS1419TSS1420_54	-3.8
ubiEp2ubiEp4_79	-1.8
yeiWp7_34	0.0
TSS3268_6	-0.7
TSS3268_47	0.0
yecMp3_31	-3.4
yecMp3_41	-3.5
ybfFp1_28	0.0
ybfFp1_50	0.0
ycgYp6_11	0.0
ycgYp6_65	-0.9
rpoHp1_28	0.0
rpoHp1_68	0.0
uspCp4uspCp5uspCp6uspCp8uspCp9_75	0.0
uspCp4uspCp5uspCp6uspCp8uspCp9_76	0.0
TSS2859TSS2860TSS2861TSS2862TSS2863TSS2864_52	-0.9
TSS2859TSS2860TSS2861TSS2862TSS2863TSS2864_107	0.0
yicHp_20	0.0
yicHp_75	0.0
TSS1494_10	0.0
TSS1494_45	-0.2
ybiOp5_20	-1.0
ybiOp5_35	-1.1
mqsRp_22	0.0
mqsRp_37	0.0
TSS1492_40	0.0
TSS1492_45	-0.5
dcuDp2_5	0.0
dcuDp2_29	0.0
remp1remp2_80	0.0
lpxPp_52	0.0
lpxPp_54	0.0
TSS630_37	-1.6
yaiOp5_39	0.0
yaiOp5_57	-3.7
TSS4447TSS4448_72	0.0
arcBp_47	0.0
arcBp_57	0.0
TSS3631TSS3632TSS3633TSS3634TSS3635TSS3636TSS3637_22	-1.1
TSS3631TSS3632TSS3633TSS3634TSS3635TSS3636TSS3637_87	-0.9
yecRp_6	-1.8
yecRp_75	0.0
TSS3414_6	0.0
pcnBp2_15	-6.0
pcnBp2_24	0.0
TSS1815_41	-2.0
TSS1815_77	0.0
yneKp6_46	-3.8
yneKp6_56	-2.7
tigp3_29	-3.3
tigp3_64	0.0
htpGp1htpGp2_85	0.0
pykFp3_47	-0.5
TSS1674_28	0.0
TSS1674_42	-2.0
TSS1676_45	0.0
TSS1676_53	0.0
srlRp_24	-0.4
srlRp_39	0.0
potDp6_72	0.0
rpsOp_6	0.0
rpsOp_38	-0.5
TSS645_72	-2.0
TSS645_78	0.0
ppsRp1ppsRp6ppsRp8_87	-2.3
TSS2795TSS2796_32	-0.6
ryfDp_16	0.0
ryfDp_30	-3.9
apaHp4_16	-3.2
apaHp4_25	0.0
TSS128_31	-1.6
TSS128_37	-0.5
TSS126_34	-5.4
TSS126_60	-7.3
hlyEp_35	0.0
hlyEp_36	-0.8
TSS122_40	-1.1
TSS122_67	-3.5
TSS1434TSS1435_91	-7.7
yfeOp1_3	-3.1
yfeOp1_4	-1.1
TSS2972_7	0.0
TSS2972_34	0.0
TSS1259_4	0.0
TSS1259_52	-1.6
lysOp_11	0.0
lysOp_39	0.0
frrp6_50	-2.2
frrp6_74	-1.7
TSS124_41	-6.7
TSS124_74	0.0
TSS2737TSS2738_13	-2.3
TSS2737TSS2738_108	-2.0
yffOp7_29	0.0
yffOp7_35	0.0
bsmAp_67	-1.2
ydcFp4_57	-0.1
glcCp_1	-0.7
glcCp_13	-0.1
TSS1070_28	-0.2
TSS1070_43	-5.7
ybjOp5_22	-0.2
ybjOp5_67	0.0
TSS404TSS405TSS406TSS407TSS408TSS409TSS410TSS411TSS412_32	-2.5
TSS404TSS405TSS406TSS407TSS408TSS409TSS410TSS411TSS412_55	-1.0
rpsUp2_21	-3.4
TSS4362TSS4363TSS4364_34	-3.9
TSS2803_56	-2.7
TSS4636TSS4637_33	0.0
TSS4636TSS4637_45	0.0
yhjXp_23	-2.1
accDp_69	-0.4
accDp_78	0.0
hsrAp4hsrAp6_37	0.0
hsrAp4hsrAp6_69	-2.8
ybjXp_31	-1.0
menBp_44	0.0
menBp_63	-6.0
yeiGp6_74	0.0
exuTp2_7	-3.9
exuTp2_28	0.0
